sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853156405982;354.8795;;;;;;;
1584853156606064;356.6864;;;;;;;
1584853156806045;358.3667;;;;;;;
1584853157006277;359.774;;;;;;;
1584853157206040;0.8301353;;;;;;;
1584853157406067;1.466627;;;;;;;
1584853157606080;1.77999;;;;;;;
1584853157806023;1.927163;;;;;;;
1584853158006233;1.992723;;;;;;;
1584853158206019;2.028764;;;;;;;
1584853158406056;1.967993;;;;;;;
1584853158606084;1.845552;;;;;;;
1584853158806041;1.695918;;;;;;;
1584853159006345;1.540317;;;;;;;
1584853159206033;1.407152;;;;;;;
1584853159406088;1.301177;;;;;;;
1584853159606052;1.165411;;;;;;;
1584853159806076;0.9929325;;;;;;;
1584853160006351;0.8467121;;;;;;;
1584853160206021;0.7201521;;;;;;;
1584853160406077;0.542811;;;;;;;
1584853160606076;0.3930968;;;;;;;
1584853160806146;0.2399365;;;;;;;
1584853161006224;359.9901;;;;;;;
1584853161206082;359.7007;;;;;;;
1584853161406048;359.3225;;;;;;;
1584853161606078;358.7715;;;;;;;
1584853161806033;358.0123;;;;;;;
1584853162006305;357.4329;;;;;;;
1584853162206081;357.0335;;;;;;;
1584853162406065;356.8038;;;;;;;
1584853162606171;356.8045;;;;;;;
1584853162806129;356.8838;;;;;;;
1584853163006323;356.943;;;;;;;
1584853163206057;357.0366;;;;;;;
1584853163406116;357.1995;;;;;;;
1584853163606100;357.4641;;;;;;;
1584853163806129;357.7575;;;;;;;
1584853164006284;358.0304;;;;;;;
1584853164206037;358.2674;;;;;;;
1584853164406163;358.5087;;;;;;;
1584853164606186;358.7139;;;;;;;
1584853164806114;358.8871;;;;;;;
1584853165006298;359.0425;;;;;;;
1584853165206151;359.1551;;;;;;;
1584853165406085;359.1862;;;;;;;
1584853165606139;359.1641;;;;;;;
1584853165806206;359.1052;;;;;;;
1584853166006387;358.9615;;;;;;;
1584853166206162;358.8022;;;;;;;
1584853166406118;358.6523;;;;;;;
1584853166606103;358.5054;;;;;;;
1584853166806139;358.3182;;;;;;;
1584853167006358;358.1423;;;;;;;
1584853167206091;357.97;;;;;;;
1584853167406117;357.7413;;;;;;;
1584853167606157;357.4851;;;;;;;
1584853167806118;357.3654;;;;;;;
1584853168006311;357.2732;;;;;;;
1584853168206103;357.1645;;;;;;;
1584853168406128;356.9844;;;;;;;
1584853168606110;356.8011;;;;;;;
1584853168806178;356.6584;;;;;;;
1584853169006341;356.5731;;;;;;;
1584853169206104;356.4967;;;;;;;
1584853169406184;356.3977;;;;;;;
1584853169606126;356.3095;;;;;;;
1584853169806206;356.2156;;;;;;;
1584853170006305;356.1366;;;;;;;
1584853170206131;356.0762;;;;;;;
1584853170406128;356.0547;;;;;;;
1584853170606112;356.0732;;;;;;;
1584853170806159;356.1117;;;;;;;
1584853171006394;356.187;;;;;;;
1584853171206170;356.2966;;;;;;;
1584853171406162;356.439;;;;;;;
1584853171606146;356.5853;;;;;;;
1584853171806122;356.7549;;;;;;;
1584853172006329;356.9194;;;;;;;
1584853172206169;357.0858;;;;;;;
1584853172406137;357.278;;;;;;;
1584853172606231;357.4658;;;;;;;
1584853172806260;357.6506;;;;;;;
1584853173006377;357.8636;;;;;;;
1584853173206111;358.0492;;;;;;;
1584853173406210;358.2192;;;;;;;
1584853173606188;358.2658;;;;;;;
1584853173806141;358.2837;;;;;;;
1584853174006441;358.2966;;;;;;;
1584853174206139;358.3166;;;;;;;
1584853174406167;358.3649;;;;;;;
1584853174606137;358.4311;;;;;;;
1584853174806253;358.5844;;;;;;;
1584853175006332;358.7215;;;;;;;
1584853175206162;358.9385;;;;;;;
1584853175406247;359.1418;;;;;;;
1584853175606142;359.3689;;;;;;;
1584853175806193;359.6125;;;;;;;
1584853176006426;359.9243;;;;;;;
1584853176206165;0.3520426;;;;;;;
1584853176406147;0.865076;;;;;;;
1584853176606173;1.377889;;;;;;;
1584853176806298;1.900453;;;;;;;
1584853177006390;2.42946;;;;;;;
1584853177206185;2.970653;;;;;;;
1584853177406230;3.515356;;;;;;;
1584853177606201;4.036574;;;;;;;
1584853177806228;4.545728;;;;;;;
1584853178006424;5.078326;;;;;;;
1584853178206190;5.653185;;;;;;;
1584853178406215;6.361794;;;;;;;
1584853178606232;7.074921;;;;;;;
1584853178806257;7.743947;;;;;;;
