sample_ts;lat;lon;northHeading;groundSpeed;SteeringWhlAngle;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;IMURollRate;IMUYawRate
1584853154724414;;;;;;-0.68;0.0935;9.9195;;
1584853154734380;;;;;;-0.612;0.2295;9.9195;;
1584853154744611;;;;;;-0.5185;0.1955;9.9195;;
1584853154754628;;;;;;-0.3315;0.153;9.724;;
1584853154764149;;;;;;-0.3485;0.0425;9.486;;
1584853154774061;;;;;;-0.3485;0.0425;9.5115;;
1584853154784079;;;;;;-0.3485;0.153;9.6135;;
1584853154794503;;;;;;-0.306;0.2125;9.639;;
1584853154804608;;;;;;-0.2295;0.1615;9.571;;
1584853154814363;;;;;;-0.3145;0.2125;9.4095;;
1584853154824345;;;;;;-0.3825;0.2125;9.2905;;
1584853154834410;;;;;;-0.3315;0.1955;9.2565;;
1584853154844271;;;;;;-0.1955;0.1955;9.112;;
1584853154854227;;;;;;-0.1785;0.2295;9.095;;
1584853154864015;;;;;;-0.1955;0.2295;9.2395;;
1584853154874468;;;;;;-0.1105;0.153;9.3075;;
1584853154884386;;;;;;-0.1275;0.0595;9.418;;
1584853154894615;;;;;;-0.306;0.0595;9.486;;
1584853154904401;;;;;;-0.4335;0.153;9.486;;
1584853154914148;;;;;;-0.4845;0.1785;9.5455;;
1584853154924055;;;;;;-0.5355;0.1615;9.4605;;
1584853154934184;;;;;;-0.697;0.2125;9.333;;
1584853154944489;;;;;;-0.8075;0.2295;9.3245;;
1584853154954614;;;;;;-0.765;0.1105;9.3585;;
1584853154964361;;;;;;-0.7225;0.0935;9.3245;;
1584853154974347;;;;;;-0.7055;0.1955;9.3925;;
1584853154984166;;;;;;-0.7395;0.153;9.486;;
1584853154994343;;;;;;-0.7055;0.0425;9.4775;;
1584853155004218;;;;;;-0.833;0.0765;9.3755;;
1584853155014089;;;;;;-1.003;0.2125;9.4435;;
1584853155024241;;;;;;-0.9435;0.2465;9.5965;;
1584853155034405;;;;;;-0.8075;0.153;9.6135;;
1584853155044617;;;;;;-0.85;0.0765;9.486;;
1584853155054414;;;;;;-0.85;0.1105;9.5965;;
1584853155064133;;;;;;-0.7905;0.1275;9.7495;;
1584853155074107;;;;;;-0.7905;0.0935;9.809;;
1584853155084099;;;;;;-0.9435;0.0765;9.9025;;
1584853155094472;;;;;;-0.9435;0.0255;9.9875;;
1584853155104603;;;;;;-0.9605;0.0425;10.0385;;
1584853155114366;;;;;;-0.918;0.0765;10.0555;;
1584853155124354;;;;;;-0.9265;0.0595;10.0725;;
1584853155134423;;;;;;-1.0115;0.0425;10.0895;;
1584853155144294;;;;;;-1.0285;0.0425;10.0895;;
1584853155154290;;;;;;-1.0285;0.0;10.115;;
1584853155164050;;;;;;-1.0795;-0.0085;10.0555;;
1584853155174465;;;;;;-1.139;-0.0255;10.0555;;
1584853155184399;;;;;;-1.156;0.0;10.0555;;
1584853155194603;;;;;;-1.0795;0.0765;10.0385;;
1584853155204394;;;;;;-1.0795;0.0935;10.0045;;
1584853155214109;;;;;;-1.156;0.1275;9.962;;
1584853155223986;;;;;;-1.071;0.1785;9.8685;;
1584853155234205;;;;;;-0.8755;0.1955;9.7495;;
1584853155244478;;;;;;-0.765;0.153;9.639;;
1584853155254599;;;;;;-0.7905;0.1785;9.6305;;
1584853155264385;;;;;;-0.85;0.1785;9.724;;
1584853155274376;;;;;;-0.85;0.1105;9.7665;;
1584853155284178;;;;;;-0.7905;0.1105;9.724;;
1584853155294310;;;;;;-0.765;0.1785;9.7155;;
1584853155304186;;;;;;-0.8585;0.1955;9.7155;;
1584853155314123;;;;;;-0.8925;0.1955;9.639;;
1584853155324233;;;;;;-0.7735;0.2125;9.6305;;
1584853155334418;;;;;;-0.7055;0.1955;9.6135;;
1584853155344600;;;;;;-0.5695;0.2635;9.5115;;
1584853155354390;;;;;;-0.5525;0.2125;9.4095;;
1584853155364165;;;;;;-0.5865;0.1105;9.3755;;
1584853155374032;;;;;;-0.5865;0.0765;9.4435;;
1584853155384081;;;;;;-0.697;0.0425;9.5625;;
1584853155394555;;;;;;-0.7735;0.0425;9.6645;;
1584853155404620;;;;;;-0.85;0.1105;9.7155;;
1584853155414367;;;;;;-0.8755;0.1955;9.6815;;
1584853155424382;;;;;;-0.9265;0.2465;9.5455;;
1584853155434428;;;;;;-0.8925;0.2125;9.5455;;
1584853155444274;;;;;;-0.85;0.0935;9.5115;;
1584853155454220;;;;;;-0.833;0.0765;9.4095;;
1584853155464022;;;;;;-0.8075;0.2295;9.4095;;
1584853155474447;;;;;;-0.68;0.3485;9.3585;;
1584853155484388;;;;;;-0.5865;0.306;9.2055;;
1584853155494597;;;;;;-0.6205;0.1275;9.18;;
1584853155504393;;;;;;-0.5355;0.0765;9.2905;;
1584853155514125;;;;;;-0.5015;0.1275;9.418;;
1584853155524000;;;;;;-0.4675;0.1955;9.418;;
1584853155534154;;;;;;-0.5015;0.2465;9.3925;;
1584853155544461;;;;;;-0.5185;0.2295;9.486;;
1584853155554617;;;;;;-0.4675;0.0255;9.5455;;
1584853155564379;;;;;;-0.5355;-0.0935;9.5285;;
1584853155574358;;;;;;-0.6375;0.0;9.5965;;
1584853155584179;;;;;;-0.6375;0.1275;9.724;;
1584853155594324;;;;;;-0.7055;0.1955;9.639;;
1584853155604175;;;;;;-0.7395;0.2125;9.6135;;
1584853155614070;;;;;;-0.8585;0.1785;9.5455;;
1584853155624211;;;;;;-0.9605;0.153;9.5625;;
1584853155634394;;;;;;-0.918;0.1275;9.571;;
1584853155644611;;;;;;-0.833;0.1615;9.6305;;
1584853155654419;;;;;;-0.7395;0.1955;9.7665;;
1584853155664145;;;;;;-0.7395;0.1615;9.7495;;
1584853155674047;;;;;;-0.7395;0.1275;9.6305;;
1584853155684096;;;;;;-0.7225;0.1105;9.6305;;
1584853155694554;;;;;;-0.7225;0.0595;9.7495;;
1584853155704367;;;;;;-0.6545;0.0595;9.7495;;
1584853155714371;;;;;;-0.68;0.1275;9.7835;;
1584853155724352;;;;;;-0.68;0.1615;9.8345;;
1584853155734416;;;;;;-0.697;0.153;9.809;;
1584853155744260;;;;;;-0.697;0.0255;9.7495;;
1584853155754270;;;;;;-0.765;-0.0425;9.7665;;
1584853155764050;;;;;;-0.8585;-0.0425;9.9025;;
1584853155774439;;;;;;-0.918;-0.0595;10.0385;;
1584853155784395;;;;;;-1.0115;-0.1275;10.1405;;
1584853155794641;;;;;;-1.0115;-0.153;10.1405;;
1584853155804412;;;;;;-0.986;-0.0935;10.0895;;
1584853155814120;;;;;;-0.9435;-0.1275;10.0385;;
1584853155824002;;;;;;-0.986;-0.153;9.9705;;
1584853155834177;;;;;;-0.986;-0.1615;9.9875;;
1584853155844471;;;;;;-1.071;-0.1955;9.962;;
1584853155854606;;;;;;-1.139;-0.2125;9.9365;;
1584853155864377;;;;;;-1.156;-0.2295;9.9875;;
1584853155874367;;;;;;-1.0965;-0.2635;9.9195;;
1584853155884191;;;;;;-1.1135;-0.1615;9.8515;;
1584853155894353;;;;;;-1.1645;-0.0765;9.8345;;
1584853155904000;;;;;;-1.0285;-0.0595;9.7665;;
1584853155914113;;;;;;-0.8755;-0.1105;9.6645;;
1584853155924236;;;;;;-0.85;-0.2125;9.639;;
1584853155934402;;;;;;-0.7905;-0.2465;9.6645;;
1584853155944378;;;;;;-0.85;-0.1615;9.7155;;
1584853155954422;;;;;;-0.765;-0.0935;9.724;;
1584853155964386;;;;;;-0.697;-0.0425;9.6985;;
1584853155974037;;;;;;-0.765;-0.0765;9.6135;;
1584853155984053;;;;;;-0.7735;-0.0935;9.5115;;
1584853155994496;;;;;;-0.7735;-0.0935;9.4775;;
1584853156004371;;;;;;-0.765;-0.0935;9.5625;;
1584853156014372;;;;;;-0.765;-0.0765;9.571;;
1584853156024377;;;;;;-0.833;-0.0255;9.5965;;
1584853156034436;;;;;;-0.833;-0.0765;9.639;;
1584853156044283;;;;;;-0.85;-0.0765;9.6645;;
1584853156054053;;;;;;-0.833;-0.0255;9.639;;
1584853156064030;;;;;;-0.833;0.0255;9.6135;;
1584853156074299;;;;;;-0.85;0.0765;9.571;;
1584853156084415;;;;;;-0.85;0.1275;9.6305;;
1584853156094606;;;;;;-0.8075;0.0765;9.5625;;
1584853156104144;;;;;;-0.765;0.0085;9.4605;;
1584853156114211;;;;;;-0.765;-0.0255;9.486;;
1584853156123988;;;;;;-0.7055;-0.0425;9.571;;
1584853156134157;;;;;;-0.5865;0.0085;9.724;;
1584853156144441;;;;;;-0.612;0.0255;9.8685;;
1584853156154396;;;;;;-0.6375;-0.0085;9.9365;;
1584853156164397;;;;;;-0.68;-0.0595;9.9025;;
1584853156174385;;;;;;-0.6545;-0.0765;9.9195;;
1584853156184199;;;;;;-0.68;-0.0935;9.9025;;
1584853156194386;;;;;;-0.765;-0.0935;9.9705;;
1584853156204024;;;;;;-0.7735;-0.1105;10.0385;;
